Sample name	Raw total reads	Raw read pairs	Adapter clipped total reads	Adapter clipped read pairs	Restriction enzyme filtered total reads	Restriction enzyme filtered read pairs
P1-HDGS-1	3276092	1638046	3276080	1638040	3118644	1559322
P1-HDGS-2	3584290	1792145	3584264	1792132	3445774	1722887
P1-HDGS-3	3853152	1926576	3852336	1926168	3715364	1857682
P1-HDGS-4	3747492	1873746	3747446	1873723	3542700	1771350
P1-HDGS-5	4598858	2299429	4598828	2299414	4391750	2195875
P1-HDGS-6	3199168	1599584	3199164	1599582	3021310	1510655
P1-HDGS-7	4754078	2377039	4754028	2377014	4536766	2268383
P1-HDGS-8	3365362	1682681	3364834	1682417	3200828	1600414
P1-HDGS-9	5562980	2781490	5562798	2781399	5339068	2669534
P1-HDGS-10	5468894	2734447	5468786	2734393	5196598	2598299
P1-HDGS-11	5667554	2833777	5667514	2833757	5422746	2711373
P1-HDGS-12	4954414	2477207	4954352	2477176	4666966	2333483
P1-HDGS-13	4410896	2205448	4410890	2205445	4234626	2117313
P1-HDGS-14	3728376	1864188	3728360	1864180	3556100	1778050
P1-HDGS-15	3279560	1639780	3279494	1639747	3131146	1565573
P1-HDGS-16	4317872	2158936	4317836	2158918	4135342	2067671
P1-HDGS-18	6673232	3336616	6673200	3336600	6384982	3192491
P1-HDGS-19	4150260	2075130	4150200	2075100	3973632	1986816
P1-HDGS-20	5204746	2602373	5204578	2602289	4912436	2456218
P1-HDGS-21	1781942	890971	1781918	890959	1697754	848877
P1-HDGS-22	3500804	1750402	3500790	1750395	3343566	1671783
P1-HDGS-24	2111938	1055969	2111934	1055967	1994106	997053
P1-HDGS-25	1216350	608175	1216340	608170	1142250	571125
P1-HDGS-26	2192518	1096259	2192516	1096258	2092898	1046449
P1-HDGS-28	3885006	1942503	3884882	1942441	3716814	1858407
P1-HDGS-29	2616326	1308163	2616320	1308160	2513436	1256718
P1-HDGS-30	2097950	1048975	2097948	1048974	2017114	1008557
P1-HDGS-31	1998370	999185	1998350	999175	1898932	949466
P1-HDGS-32	2307474	1153737	2307424	1153712	2206668	1103334
P1-HDGS-33	1904254	952127	1904246	952123	1795678	897839
P1-HDGS-34	4071536	2035768	4071404	2035702	3850870	1925435
P1-HDGS-35	2241718	1120859	2241670	1120835	2138040	1069020
P1-HDGS-36	627532	313766	627526	313763	595158	297579
P1-HDGS-37	3391818	1695909	3391808	1695904	3230640	1615320
P1-HDGS-39	3429172	1714586	3428940	1714470	3287924	1643962
P1-HDGS-40	3323928	1661964	3323732	1661866	3156228	1578114
P1-HDGS-41	4784890	2392445	4784860	2392430	4511164	2255582
P1-HDGS-42	5780358	2890179	5780006	2890003	5518360	2759180
P1-HDGS-43	3323156	1661578	3323148	1661574	3130044	1565022
P1-HDGS-44	4854034	2427017	4854004	2427002	4548724	2274362
P1-HDGS-45	3291712	1645856	3291698	1645849	3085238	1542619
P1-HDGS-46	2259396	1129698	2259334	1129667	2151962	1075981
P1-HDGS-47	8429106	4214553	8429080	4214540	8127360	4063680
P1-HDGS-48	468194	234097	468192	234096	445340	222670
P1-HDGS-49	2215044	1107522	2215038	1107519	2128492	1064246
P1-HDGS-50	2871486	1435743	2871482	1435741	2745406	1372703
P1-HDGS-52	4349962	2174981	4348640	2174320	4159436	2079718
P1-HDGS-53	4090532	2045266	4090454	2045227	3925866	1962933
P1-HDGS-54	3926632	1963316	3926532	1963266	3711478	1855739
P1-HDGS-55	1074520	537260	1074518	537259	1019250	509625
P1-HDGS-56	1467508	733754	1467468	733734	1353310	676655
P1-HDGS-57	3936952	1968476	3936830	1968415	3782600	1891300
P1-HDGS-58	3592196	1796098	3592164	1796082	3420530	1710265
P1-HDGS-59	2758652	1379326	2758638	1379319	2638286	1319143
P1-HDGS-60	4123410	2061705	4123402	2061701	3876660	1938330
P1-HDGS-61	5520724	2760362	5520684	2760342	5316152	2658076
P1-HDGS-62	5674460	2837230	5674392	2837196	5460412	2730206
P1-HDGS-63	2825518	1412759	2825516	1412758	2670116	1335058
P1-HDGS-64	6154090	3077045	6154080	3077040	5912074	2956037
P1-HDGS-66	5244742	2622371	5244718	2622359	5059620	2529810
P1-HDGS-67	4170974	2085487	4170880	2085440	3902256	1951128
P1-HDGS-68	6150344	3075172	6150274	3075137	5781410	2890705
P1-HDGS-69	1872128	936064	1872126	936063	1773886	886943
P1-HDGS-70	4408888	2204444	4408680	2204340	4178896	2089448
P1-HDGS-71	7766576	3883288	7766544	3883272	7398990	3699495
P1-HDGS-72	4771848	2385924	4771744	2385872	4583624	2291812
P1-HDGS-73	3631674	1815837	3631632	1815816	3475058	1737529
P1-HDGS-74	3597930	1798965	3597914	1798957	3437670	1718835
P1-HDGS-75	847108	423554	847058	423529	814686	407343
